,Total # of tweets,negative tweets,positive tweets,Lyrics Match,LyricsMatch-filteredTweet-ratio,LyricsMatch-TotalTweet-ratio
2015-01,59273050,54280922,4992128,7075,1,0.999999999
2015-02,51512742,46985557,4527185,5558,0.866262608,0.903929803
2015-03,57268867,52587351,4681516,5841,0.880359312,0.854475167
2015-04,48645299,44817875,3827424,4883,0.900200846,0.840962592
2015-05,11121256,9916716,1204540,628,0.367872806,0.473082231
2015-06,67124576,62034858,5089718,6506,0.901944068,0.812013658
2015-07,44596423,41270123,3326300,4357,0.924241388,0.818499399
2015-08,75400181,69825941,5574240,6855,0.86772291,0.761668336
2015-09,68335092,62806687,5528405,6397,0.816461608,0.784266019
2015-10,63741454,58526351,5215103,5663,0.766201397,0.744312695
2015-11,70062236,64498042,5564194,5924,0.751228498,0.708372817
2015-12,18434533,16945392,1489141,1580,0.74865294,0.718051804
2016-01,8501110,8228255,272855,318,0.822345787,0.313387966
2016-02,69731088,66732161,2998927,2745,0.645856036,0.329797028
2016-03,52128319,48272695,3855624,4104,0.751055352,0.65957542
2016-04,70669968,64964579,5705389,5325,0.658557378,0.631270578
2016-05,76153908,70483795,5670113,4173,0.51929715,0.45907857
2016-06,76883516,71004989,5878527,6102,0.732424654,0.664920615
2016-07,79730585,73689598,6040987,6581,0.768675887,0.691508895
2016-08,75060717,69239020,5821697,5877,0.712303963,0.655954647
2016-09,63144176,57852332,5291844,4559,0.607885561,0.604877072
2016-10,68764187,63511666,5252521,3832,0.514774436,0.466867904
2016-11,68306197,62570004,5736193,4445,0.546773274,0.545183232
2016-12,78034772,73070305,4964467,4218,0.59950556,0.452844649
2017-01,64761879,59152714,5609165,4251,0.53475168,0.549923774
2017-02,49292002,44768919,4523083,3687,0.575172149,0.62665356
2017-03,51461978,46827958,4634020,3880,0.590789938,0.631649391
2017-04,46841051,42564433,4276618,4229,0.697744616,0.756383219
2017-05,45592367,41599373,3992994,3737,0.660364485,0.686691685
2017-06,46897952,42789272,4108680,3213,0.551782186,0.573967998
2017-07,50163222,45901571,4261651,3335,0.552175617,0.556982109
2017-08,51092237,46732542,4359695,2950,0.477447009,0.483724327
2017-09,22171859,20190113,1981746,1335,0.475327065,0.504440548
2017-10,35524172,32656654,2867518,1675,0.412161979,0.395022359
2017-11,46305393,42019883,4285510,2641,0.434835664,0.477823668
2017-12,43519039,39361737,4157302,2267,0.384768238,0.436418402